version,model,dataset,n,local_em_pct,local_f1_pct,judge_acc_pct,avg_calls,source
v7 numericfix,Qwen3-8B,HotpotQA,50,78.0,74.35,80.0,14.88,results/ldt/v7/hotpotqa_ldtd_v7_debatetree_numericfix_q3_8b_full50.jsonl
v7 numericfix,Qwen3-8B,2WikiMultiHopQA,50,76.0,76.09,78.0,14.88,results/ldt/v7/2wikimultihopqa_ldtd_v7_debatetree_numericfix_q3_8b_full50.jsonl
v7 numericfix,Qwen3-8B,MuSiQue,50,58.0,63.56,56.0,15.98,results/ldt/v7/musique_ldtd_v7_debatetree_numericfix_q3_8b_full50.jsonl
v7 numericfix,Qwen3-8B,StrategyQA,50,90.0,90.0,90.0,13.62,results/ldt/v7/strategyqa_ldtd_v7_debatetree_numericfix_q3_8b_full50.jsonl
v7 numericfix,Qwen3-8B,Macro,,,,76.0,,computed macro over listed datasets
v7 numericfix,Qwen2.5-14B,HotpotQA,50,72.0,66.97,76.0,15.92,results/ldt/v7/hotpotqa_ldtd_v7_debatetree_numericfix_q25_14b_full50.jsonl
v7 numericfix,Qwen2.5-14B,2WikiMultiHopQA,50,72.0,65.0,74.0,17.28,results/ldt/v7/2wikimultihopqa_ldtd_v7_debatetree_numericfix_q25_14b_full50.jsonl
v7 numericfix,Qwen2.5-14B,MuSiQue,50,56.0,59.5,52.0,21.4,results/ldt/v7/musique_ldtd_v7_debatetree_numericfix_q25_14b_full50.jsonl
v7 numericfix,Qwen2.5-14B,StrategyQA,50,90.0,90.0,90.0,20.32,results/ldt/v7/strategyqa_ldtd_v7_debatetree_numericfix_q25_14b_full50.jsonl
v7 numericfix,Qwen2.5-14B,Macro,,,,73.0,,computed macro over listed datasets
v8 contested terminal,Qwen3-8B,HotpotQA,50,78.0,77.62,82.0,24.64,results/ldt/v8/hotpotqa_ldtd_v8_contested_q3_8b_full50.jsonl
v8 contested terminal,Qwen3-8B,2WikiMultiHopQA,50,78.0,76.42,80.0,22.94,results/ldt/v8/2wikimultihop_ldtd_v8_contested_q3_8b_full50.jsonl
v8 contested terminal,Qwen3-8B,MuSiQue,50,64.0,68.16,62.0,28.74,results/ldt/v8/musique_ldtd_v8_contested_q3_8b_full50.jsonl
v8 contested terminal,Qwen3-8B,StrategyQA,50,90.0,90.0,90.0,28.7,results/ldt/v8/strategyqa_ldtd_v8_contested_q3_8b_full50.jsonl
v8 contested terminal,Qwen3-8B,Macro,,,,78.5,,computed macro over listed datasets
v8 contested terminal,Qwen2.5-14B,HotpotQA,50,74.0,76.28,80.0,33.16,results/ldt/v8/hotpotqa_ldtd_v8_contested_q25_14b_full50.jsonl
v8 contested terminal,Qwen2.5-14B,2WikiMultiHopQA,50,82.0,75.51,84.0,36.8,results/ldt/v8/2wikimultihop_ldtd_v8_contested_q25_14b_full50.jsonl
v8 contested terminal,Qwen2.5-14B,MuSiQue,50,64.0,64.29,58.0,37.58,results/ldt/v8/musique_ldtd_v8_contested_q25_14b_full50.jsonl
v8 contested terminal,Qwen2.5-14B,StrategyQA,50,90.0,90.0,90.0,41.72,results/ldt/v8/strategyqa_ldtd_v8_contested_q25_14b_full50.jsonl
v8 contested terminal,Qwen2.5-14B,Macro,,,,78.0,,computed macro over listed datasets
v8 contested terminal,Qwen3-4B,HotpotQA,50,72.0,72.88,72.0,19.76,results/ldt/v8/hotpotqa_ldtd_v8_contested_q3_4b_full50.jsonl
v8 contested terminal,Qwen3-4B,2WikiMultiHopQA,50,70.0,68.63,72.0,18.34,results/ldt/v8/2wikimultihop_ldtd_v8_contested_q3_4b_full50.jsonl
v8 contested terminal,Qwen3-4B,MuSiQue,50,44.0,51.15,44.0,22.1,results/ldt/v8/musique_ldtd_v8_contested_q3_4b_full50.jsonl
v8 contested terminal,Qwen3-4B,StrategyQA,50,92.0,92.0,92.0,18.2,results/ldt/v8/strategyqa_ldtd_v8_contested_q3_4b_full50.jsonl
v8 contested terminal,Qwen3-4B,Macro,,,,70.0,,computed macro over listed datasets
v23 guarded ARDT,Qwen3-8B,HotpotQA,50,76.0,77.62,80.0,24.8,results/ldt/v23/hotpotqa_ldtd_v23_granularity_guard_q3_8b_full50.jsonl
v23 guarded ARDT,Qwen3-8B,2WikiMultiHopQA,50,82.0,79.22,84.0,25.52,results/ldt/v23/2wikimultihop_ldtd_v23_granularity_guard_q3_8b_full50.jsonl
v23 guarded ARDT,Qwen3-8B,MuSiQue,50,64.0,68.16,62.0,29.84,results/ldt/v23/musique_ldtd_v23_granularity_guard_q3_8b_full50.jsonl
v23 guarded ARDT,Qwen3-8B,StrategyQA,50,90.0,90.0,90.0,22.56,results/ldt/v23/strategyqa_ldtd_v23_granularity_guard_q3_8b_full50.jsonl
v23 guarded ARDT,Qwen3-8B,Macro,,,,79.0,,computed macro over listed datasets
v23 guarded ARDT,Qwen2.5-14B,HotpotQA,50,76.0,77.41,80.0,29.24,results/ldt/v23/hotpotqa_ldtd_v23_granularity_guard_q25_14b_full50.jsonl
