model,dataset,n,v62_judge_pct,cdsd_judge_pct,delta_vs_cdsd,notes
Qwen3.5-9B,HotpotQA,500,84.6,83.2,1.4,full500 v6.2 vs available CDSD full500
Qwen3.5-9B,2WikiMultiHopQA,500,82.4,82.2,0.2,full500 v6.2 vs available CDSD full500
Qwen3.5-9B,MuSiQue,500,71.4,65.2,6.2,full500 v6.2 vs available CDSD full500
Qwen3.5-9B,StrategyQA,500,95.8,95.8,0.0,full500 v6.2 vs available CDSD full500
Qwen3.5-9B,Macro,2000,83.55,81.6,1.95,macro over four datasets
Qwen3-8B,HotpotQA,500,82.0,80.8,1.2,full500 v6.2 vs available CDSD full500
Qwen3-8B,2WikiMultiHopQA,500,83.4,83.2,0.2,full500 v6.2 vs available CDSD full500
Qwen3-8B,MuSiQue,500,59.6,58.8,0.8,full500 v6.2 vs available CDSD full500
Qwen3-8B,StrategyQA,500,93.0,93.0,0.0,full500 v6.2 vs available CDSD full500
Qwen3-8B,Macro,2000,79.5,78.95,0.55,macro over four datasets
Qwen2.5-14B,HotpotQA,500,82.2,81.2,1.0,full500 v6.2 vs CDSD-Soft/JudgeFix/Granularity+Type best single comparable row
Qwen2.5-14B,2WikiMultiHopQA,500,81.8,81.4,0.4,full500 v6.2 vs CDSD-Soft/JudgeFix/Granularity+Type best single comparable row
Qwen2.5-14B,MuSiQue,500,61.2,58.4,2.8,full500 v6.2 vs CDSD-Soft/JudgeFix/Granularity+Type best single comparable row
Qwen2.5-14B,StrategyQA,500,94.0,94.0,0.0,full500 v6.2 vs CDSD-Soft/JudgeFix/Granularity+Type best single comparable row
Qwen2.5-14B,Macro,2000,79.8,78.75,1.05,macro over four datasets
